,T_SG,SGCR,SGHU,SGHO,SGHS,SGSI,SGZM,T_AG_BM,Zm_AG_BM,Ho_AG_BM,Hs_AG_BM,Cr_AG_BM,Hu_AG_BM,Si_AG_BM,year,SGZMHU,ZmHu_AG_BM
2012_BMS_WA5,100,100,0,0,0,0,0,147.2487386,0,0,0,147.2487386,0,0,2012,0,0
2012_BMS_AM6,16.666667,0,16.666667,0,0,0,0,21.97894396,21.97894396,0,0,0,0,0,2012,16.666667,21.97894396
2012_BMS_AM7,20.833333,0,0,20.833333,0,0,0,35.67334262,15.61274624,20.06059638,0,0,0,0,2012,0,15.61274624
2012_BMS_AM08,25,0,0,4.166667,20.833333,0,0,28.71862529,1.244945333,9.518172952,17.955507,0,0,0,2012,0,1.244945333
2012_BMS_AM10,20.833333,0,20.833333,0,0,0,0,17.68954141,16.82939736,0,0,0.633790351,0.226353697,0,2012,20.833333,17.05575106
2012_BMS_AM16,37.5,0,0,4.166667,33.333333,0,0,54.96999528,0,0,54.96999528,0,0,0,2012,0,0
2012_BMS_AM18,16.666666,0,0,8.333333,8.333333,0,0,13.0323141,0,6.258679718,6.773634378,0,0,0,2012,0,0
2012_BMS_MA1,8.333333,0,0,0,8.333333,0,0,41.36047926,0,0,41.36047926,0,0,0,2012,0,0
2012_BMS_MA3,4.166667,0,0,0,4.166667,0,0,12.98138451,0,0,12.98138451,0,0,0,2012,0,0
2012_BMS_MA5,20.833333,0,8.333333,0,12.5,0,0,25.66285038,1.827806102,0,21.98460281,0,1.850441472,0,2012,8.333333,3.678247574
2012_BMS_MA6,12.5,0,0,0,0,0,12.5,40.64180627,30.89162078,9.750185491,0,0,0,0,2012,12.5,30.89162078
2012_BMS_MA11,41.666666,0,0,8.333333,0,0,33.333333,17.54241151,7.837496753,2.178654332,0,0,7.52626042,0,2012,33.333333,15.36375717
2012_BMS_MO2,50,0,33.333333,16.666667,0,0,0,38.82531785,31.71781177,7.107506081,0,0,0,0,2012,33.333333,31.71781177
