,Photo_Name,T_SG,SGZM,SGHU,SGHO,SGHS,SGCR,SGSI,SGZMHU,transect,bank
2,20130211_MBAMT01_04.JPG,91.666667,91.666667,0,0,0,0,0,91.666667,MBAMT01,AM
5,20130211_MBAMT01_07.JPG,4.166667,4.166667,0,0,0,0,0,4.166667,MBAMT01,AM
6,20130211_MBAMT01_08.JPG,29.166667,29.166667,0,0,0,0,0,29.166667,MBAMT01,AM
7,20130211_MBAMT01_09.JPG,4.166667,0,0,4.166667,0,0,0,0,MBAMT01,AM
9,20130211_MBAMT01_11.JPG,8.333333,4.166667,0,4.166667,0,0,0,4.166667,MBAMT01,AM
10,20130211_MBAMT01_12.JPG,33.333333,29.166667,0,4.166667,0,0,0,29.166667,MBAMT01,AM
11,20130211_MBAMT01_13.JPG,75,75,0,0,0,0,0,75,MBAMT01,AM
12,20130211_MBAMT01_14.JPG,75,70.833333,0,4.166667,0,0,0,70.833333,MBAMT01,AM
13,20130211_MBAMT01_15.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
14,20130211_MBAMT01_16.JPG,25,12.5,0,12.5,0,0,0,12.5,MBAMT01,AM
15,20130211_MBAMT01_17.JPG,91.666667,91.666667,0,0,0,0,0,91.666667,MBAMT01,AM
16,20130211_MBAMT01_18.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
17,20130211_MBAMT01_19.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
18,20130211_MBAMT01_20.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
19,20130211_MBAMT01_21.JPG,79.166667,75,0,4.166667,0,0,0,75,MBAMT01,AM
20,20130211_MBAMT01_22.JPG,87.5,79.166667,0,8.333333,0,0,0,79.166667,MBAMT01,AM
21,20130211_MBAMT01_23.JPG,95.833333,95.833333,0,0,0,0,0,95.833333,MBAMT01,AM
22,20130211_MBAMT01_24.JPG,95.833333,95.833333,0,0,0,0,0,95.833333,MBAMT01,AM
23,20130211_MBAMT01_25.JPG,91.666667,91.666667,0,0,0,0,0,91.666667,MBAMT01,AM
24,20130211_MBAMT01_26.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
25,20130211_MBAMT01_27.JPG,83.333333,79.166667,0,4.166667,0,0,0,79.166667,MBAMT01,AM
26,20130211_MBAMT01_28.JPG,70.833333,54.166667,0,16.666667,0,0,0,54.166667,MBAMT01,AM
27,20130211_MBAMT01_29.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
28,20130211_MBAMT01_30.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
29,20130211_MBAMT01_31.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
30,20130211_MBAMT01_32.JPG,79.166667,79.166667,0,0,0,0,0,79.166667,MBAMT01,AM
31,20130211_MBAMT01_33.JPG,66.666667,66.666667,0,0,0,0,0,66.666667,MBAMT01,AM
32,20130211_MBAMT01_34.JPG,83.333333,83.333333,0,0,0,0,0,83.333333,MBAMT01,AM
33,20130211_MBAMT01_35.JPG,87.5,87.5,0,0,0,0,0,87.5,MBAMT01,AM
34,20130211_MBAMT01_36.JPG,70.833333,66.666667,0,4.166667,0,0,0,66.666667,MBAMT01,AM
35,20130211_MBAMT01_37.JPG,91.666667,91.666667,0,0,0,0,0,91.666667,MBAMT01,AM
36,20130211_MBAMT01_38.JPG,75,70.833333,0,4.166667,0,0,0,70.833333,MBAMT01,AM
37,20130211_MBAMT01_39.JPG,70.833333,66.666667,0,4.166667,0,0,0,66.666667,MBAMT01,AM
